Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL,Ballots
15,Mason,Bell,West Georgia Mason Bell & Brycen Rotell,West Georgia,GA,114.5,57.3,171.7,3.83,172.21,2.55,"W28.2,L28.7,W28,W29,L29.2,L28.6"
16,Brycen,Rotell,West Georgia Mason Bell & Brycen Rotell,West Georgia,GA,114.5,57.3,171.6,3.83,172.21,80.66,"W28,L28.8,W28.1,W29.1,L29.1,L28.5"
17,Rowlin,Garcia,Indiana Rowlin Garcia & Adam Foudali,Indiana,IN,114.4,57.3,172.3,3,172.47,47.54,"W29.8,L28.1,W28.1,W28.6,W29,W28.7"
18,Marko,Soto,Southwestern Eduardo Plascencia & Marko Soto,Southwestern,CA,114.4,57.2,172.08,4,172.37,92.52,"W28.6,L28.5,L29.2,L28.7,L28.4"
19,Kenneth,Mitchell,West Georgia Kenneth Mitchell & Jasmine Richardson,West Georgia,GA,114.4,57.1,171.7,3.2,171.63,54.44,"W28.6,W28.3,L29,L28.4,W28.9,W28.5"
20,Ismaila,Chongan,Johnson County Community Ismaila Chongan & Mariama Jallow,Johnson County Community,KS,114.27,57.2,170.76,2.25,171.77,94.63,"L27.8,L28.4,W28.8,W28.6,L28.7"
21,Kaylie,Ratcliffe,Navy Breyden Collins & Kaylie Ratcliffe,Navy,MD,114.2,0,171.3,3.6,171.59,8.58,"L28,L29.1,L28.7,L28.4"
22,Miles,Woods,Emory Saurya Adhikari & Miles Woods,Emory,GA,114.13,57.2,170.88,3.2,170.28,31.72,"L28.3,L28.7,L28.1,W28.7,L28.6"
23,Mariama,Jallow,Johnson County Community Ismaila Chongan & Mariama Jallow,Johnson County Community,KS,114.13,57,170.64,2.25,171.82,18.57,"L27.6,L28.5,W29,W28.5,L28.6"
24,Yousuf,Khairi,Speech and Debate Team at The Ohio State Yousuf Khairi & Nabil,Speech and Debate Team at The Ohio State,OH,114.13,57,170.28,3.17,171.06,56.22,"L28.6,L27.5,W28.5,L28.5,L28.8"
25,William,Porter,Wake Forest Grant Kinghorn & William Porter,Wake Forest,NC,114,56.9,170.9,2.83,171.17,26.13,"L28.9,W28.3,W28.6,L28,W28.2,W28.9"
26,Kendall,Godsey,West Georgia Edward Handley & Kendall Godsey,West Georgia,GA,113.9,56.9,170.9,4,171.42,19.73,"W29.2,W28.2,W29,L27.8,L28,W28.7"
27,Connor,Graham,Navy Ethan Madsen & Connor Graham,Navy,MD,113.87,57,170.88,4,171.15,16.59,"L28.2,L28.1,W28.9,W28.7,L28.5"
28,Joseph,Estelita,Kentucky Amelea Asmi Jan & Joseph Estrelita,Kentucky,KY,113.73,57.2,170.04,3.8,170.55,37.76,"L27.5,L27.9,L28.9,L28.6,L28.8"
29,Nabil,Makour,Speech and Debate Team at The Ohio State Yousuf Khairi & Nabil,Speech and Debate Team at The Ohio State,OH,113.73,57,138.12,3.17,138.08,30.82,"L28.5,L1,W28.1,L28.8,L28.7"
30,Saurya,Adhikari,Emory Saurya Adhikari & Miles Woods,Emory,GA,113.73,56.8,170.16,3.2,169.27,4.08,"L28.4,L28.5,L28,W28.5,L28.4"
31,Ethan,Madsen,Navy Ethan Madsen & Connor Graham,Navy,MD,113.6,57.2,170.28,4,170.44,41.38,"L28,L28,W28.7,W28.6,L28.6"
32,Amelea,Asmi Jan,Kentucky Amelea Asmi Jan & Joseph Estrelita,Kentucky,KY,113.6,56.8,169.8,3.8,169.73,85.05,"L27.6,L28.1,L28.7,L28.4,L28.7"
33,Makelah,Arzu-Porter,Kentucky Ava Kruse & Makelah Arzu-Porter,Kentucky,KY,113.2,0,169.4,2.8,113.1,4.24,"L28.3,L27.6,L28.8"
34,Ava,Kruse,Kentucky Ava Kruse & Makelah Arzu-Porter,Kentucky,KY,112.8,0,168.6,2.8,112.09,68.89,"L28.2,L27.5,L28.6"
